,year,price_soybean_meal,gdp_china,gdp_iran,gpd_netherlands,gdp_spain,gdp_thailand,gdp_world,gdp_egypt,gdp_japan,gdp_vietnam,tons_exported
18,1997,124.012650447935,560.722749656803,106.976296350351,152.738204086767,156.728085115043,345.124056575418,173.936617617197,218.68367795051,180.133770648001,299.095195032207,9965945.186
19,1998,77.4217182304026,604.459124130033,109.008845981008,159.916899678845,163.78084894522,318.894628275686,178.458969675245,235.084953796798,178.152299170873,316.442716344075,9947875.071
20,1999,67.6017469666196,651.002476688046,109.335872518951,167.912744662787,171.478548845645,333.563781176367,184.883492583553,249.425135978403,177.617842273361,331.631966728591,10050065.971
21,2000,82.934920202049,706.33768720653,116.880047722759,174.965079938624,180.223954836773,348.574151329304,193.757900227564,262.894093321237,182.591141857015,354.182940466135,9055434.864
22,2001,80.0291432455644,765.670052931878,117.815088104541,178.989276777213,187.252689075407,360.4256724745,198.601847733253,272.09538658748,183.321506424443,378.621563358298,10582493.23
23,2002,81.5221240378862,835.346027748679,129.950042179308,179.347255330767,192.308511680443,382.411638495445,204.559903165251,280.802438958279,183.504827930867,405.503694356737,11866231.586
24,2003,95.1137612495693,918.880630523547,141.905446059805,179.705949841429,198.077767030856,409.945276467117,213.355979001356,289.788117004944,186.25740034983,435.105464044779,13013401.3
25,2004,113.940931028169,1012.60645483695,147.581663902197,183.300068838257,204.218177808813,435.771828884545,224.87720186743,301.669429802147,190.355063157527,469.043690240272,13708360.587
26,2005,91.1802107714556,1128.04359068836,155.108328761209,186.966070215022,211.774250387739,454.074245697696,235.896184758934,315.244554143243,193.591099231205,504.221967008292,14328459.937
27,2006,85.9503154415588,1271.30512670578,163.329070185553,193.509882672548,220.456994653636,476.777957982581,248.870474920675,336.681183824984,196.301374620441,539.517504698873,12314135.9
28,2007,116.833463478145,1453.10175982471,174.272117887985,200.863258214105,228.393446461167,502.52396771364,262.807221516233,360.585547876558,199.638497988989,577.823247532492,12474182.242
29,2008,163.033275124313,1594.05263052771,174.097845770097,205.282249894815,230.448987479317,511.066875164772,270.69143816172,386.54770732367,197.44247451111,610.759172641845,12279595.118
30,2009,159.198985609131,1743.89357779731,174.097845770097,197.686806648707,221.691925955103,507.489407038619,270.420746723558,404.715449567882,186.78058088751,643.740167964504,12249790.082
31,2010,146.806475184894,1928.74629704383,184.021422978993,200.25673513514,222.135309807014,545.551112566515,285.02346704663,425.355937495844,194.625365284785,684.939538714233,13666099.174
32,2011,167.873365670525,2111.97719526299,189.726087091341,203.260586162167,220.358227328557,549.915521467047,297.279476129635,433.01234437077,194.430739919501,728.775669191943,14334869.855
33,2012,209.712397187769,2278.82339368877,175.117178385308,201.227980300546,213.747480508701,589.509439012674,307.684257794173,442.538615946927,197.347201018293,768.8583309975,14289041.852
34,2013,211.491372078099,2456.57161839649,174.591826850152,201.026752320245,210.755015781579,605.426193866017,318.453206816969,457.142390273175,201.294145038659,811.91439753336,13333544.887
35,2014,206.912576361982,2635.90134653944,180.178765309357,203.841126852729,213.705586002521,611.480455804677,329.91752226238,470.399519591097,202.099321618814,863.876918975495,13716322.61
36,2015,156.291074511623,2817.77853945066,177.295905064407,207.917949389783,221.826398270617,630.436349934622,341.464635541563,491.097098453105,204.524513478239,924.34830330378,14826596.384
37,2016,155.159310256864,3009.3874801333,199.457893197458,212.492144276358,228.481190218735,651.871185832399,353.074433149976,512.214273686589,205.547136045631,986.279639625133,14443791.52
38,2017,154.470761524883,3217.0352162625,206.837835245764,218.654416460373,235.107144735079,678.597904451527,366.844336042825,533.215058907739,210.069173038635,1054.33293475927,14176743.728
39,2018,165.414698585786,3432.57657575209,195.668592142493,224.339431288342,240.749716208721,707.099016438491,380.050732140367,561.475457029849,210.69938055775,1129.19057312718,16669975.827
40,2019,148.243872296185,3641.96374687296,180.797779139663,228.377541051533,245.564710532895,724.069392833015,391.072203372437,592.918082623521,212.174276221655,1208.23391324608,16530380.77
41,2020,145.243944069053,3685.66731183544,169.949912391284,211.249225472668,225.919533690263,675.556743513203,379.328744852979,604.776444275991,201.141213858129,1240.85622890372,0.0
42,2021,148.695213029731,4024.7487045243,175.218359675413,217.586702236848,235.634073638945,716.765704867508,401.3189738169,621.710184715719,207.175450273872,1327.71616492698,0.0
43,2022,152.228490624334,4230.01088845504,181.266859259503,220.415329365927,238.697316596251,741.508300767915,415.172417318571,643.171484779499,208.832853876063,1395.42968933826,0.0
44,2023,155.845725532062,4441.51143287779,187.576608864372,223.721559306416,242.277776345195,767.31959207009,429.624226142477,665.559752764771,210.503516707072,1465.20117380517,0.0
45,2024,159.548912736393,4663.58700452168,194.212029311119,227.301104255318,246.154220766718,794.463105012541,444.821949311813,689.103566776358,212.187544840728,1538.46123249543,0.0
46,2025,163.340094625363,4892.10276774324,201.152294824981,231.278873579786,250.461919630135,822.853647603092,460.717887609602,713.729032752599,213.885045199454,1613.84583288771,0.0
47,2026,167.410249788345,5126.92370059492,208.285085476641,235.511276966296,255.045372759367,852.031752731918,477.054784211521,739.037616863288,215.38224051585,1691.31043286632,0.0
48,2027,171.480404951327,5362.76219082228,215.582431470005,239.985991228656,259.891234841795,881.883004360371,493.768577281316,764.930076613928,216.889916199461,1769.11071277817,0.0
49,2028,175.550560114309,5604.08648940929,223.147862178115,244.665718057615,264.95911392121,912.830910071678,511.096389811269,791.773755162832,218.408145612858,1848.72069485318,0.0
50,2029,179.62071527729,5850.6662949433,230.993805583814,249.436699559738,270.125816642673,944.926309012486,529.066686771208,819.612749507159,219.937002632148,1930.06440542672,0.0
51,2030,183.690870440272,6102.24494562586,239.09686371371,254.300715201153,275.393270067206,978.073487098255,547.625877597401,848.364038904184,221.476561650573,2013.05717486007,0.0
